,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPOSISI %,,Category,,,,Ester,Ester,Additive,Base Oil,Base Oil,Base Oil,,,Ester,,,,VM,VM,,,,,,,,,,,,,,,Hasil Pengukuran,,,,,,,,
No,Tanggal,Entry,Genlube 135,Genlube 165,Genlube 6165,Genlube 0831,Triester ,CV 1103,Cosco S4,Cosco S6,Cosco S8,N 150,N 500,Priolube (Palm Ester 3970),PAMA 52%,PAMA 62%-Z1,"SPAMA 20/5 - 41,5%",VM -  NMM (HV),VM - SPAMA 52%,Lucant HC 600,RF 6066,Lubrizol VL 9101F,FC 9250,FC 9270,WN 1014,WN 2018,WN 2112,WN 2118,WN 7014,WN 9014,WN 2010 B,PV 1510,Total,KV 40,KV 100,Vi,HTHS (mPa.S),CCS (mPa.S),Pour Point (C),Noack (%),4 Ball (WSD/Coef Friction,Flash Point (C)
1,07 September 2020,5W30 - F2,10,,,,,,,20,59.05,,,,,,2.5,,,,,,,7.65,,0.6,,,,0.2,,,100,59.325,9.14,133.028,,,,,,
2,07 September 2020,10W30 - F2,10,,,,,,,50,27.05,,,,,,4.5,,,,,,,7.65,,0.6,,,,0.2,,,100,56.83,9.015,137.434,,,,,,
3,07 September 2020,5W40 - F2,10,,,,,,,15.05,60,,,,,,6.5,,,,,,,7.65,,0.6,,,,0.2,,,100,64.39,10.295,147.226,,,,,,
4,07 September 2020,10W40 - F2,10,,,,,,,,75.05,,,,,,6.5,,,,,,,7.65,,0.6,,,,0.2,,,100,66.305,10.495,146.51,,,,,,
5,08 September 2020,10W30 - F3,10,,,,,,,47.98,29,,,,,,5,,,,,,,7.26,,0.57,,,,0.19,,,100,56.72,9.13,141.024,,,,,,
6,08 September 2020,10W40 - F3,10,,,,,,,,75.26,,,,,,7,,,,,,,7.01,,0.55,,,,0.18,,,100,68.04,10.565,143.451,,,,,,
7,08 September 2020,10W30 - F4,10,,,,,,,47.48,29,,,,,,5.5,,,,,,,7.26,,0.57,,,,0.19,,,100,58.415,9.23,138.244,,,,,,
8,08 September 2020,10W40 - F4,10,,,,,,,,74.48,,,,,,7.5,,,,,,,7.26,,0.57,,,,0.19,,,100,70.1,10.745,142.118,,,,,,
9,11 September 2020,10W30 (VM-HV = 6%),10,,,,,,,46.98,29,,,,,,,6,,,,,,7.26,,0.57,,,,0.19,,,100,68.54,11.31,158.598,,,,,,
10,11 September 2020,10W40 (VM-HV = 8%),9.98,,,,,,,,74,,,,,,,8,,,,,,7.26,,0.57,,,,0.19,,,100,87.485,14.15,167.315,,,,,,
11,15 September 2020,"10W30 (Gvis SPMA 20/5 - 41,5% = 4,5%)",10,,,,,,,50,27.05,,,,,,4.5,,,,,,,7.65,,0.6,,,,0.2,,,100,59.905,10.7,170.973,,,,,,
12,15 September 2020,"10W40 (Gvis SPMA 20/5 - 41,5% = 6%)",10,,,,,,,,75.98,,,,,,6,,,,,,,7.26,,0.57,,,,0.19,,,100,71.635,11.39,152.066,,,,,,
13,15 September 2020,"10W30 (Gvis SPMA 20/5 - 41,5% = 5,5%)",10,,,,,,,48,28.49,,,,,,5.5,,,,,,,7.26,,0.57,,,,0.18,,,100,61.09,9.815,145.181,,,,,,
14,15 September 2020,"10W40 (Gvis SPMA 20/5 - 41,5% = 7%)",10,,,,,,,,75.2,,,,,,7,,,,,,,7.11,,0.5,,,,0.19,,,100,75.35,11.645,148.308,,,,,,
15,16 September 2020,SAE 10W30 (PAMA 62%-Z1 = 4%),9.6,,,,,,,48.34,30,,,,,,,,4,,,,,7.3,,0.57,,,,0.19,,,100,59.29,9.58,144.724,,,,,,
16,16 September 2020,SAE 10W30 (PAMA 62%-Z1 = 5%),10,,,,,,,50,26.55,,,,,,,,5,,,,,7.65,,0.6,,,,0.2,,,100,59.255,10.12,158.809,,,,,,
17,16 September 2020,SAE 10W40 (PAMA 62%-Z1 = 6%),10,,,,,,,,75.05,,,,,,,,6.5,,,,,7.65,,0.6,,,,0.2,,,100,72.5,11.51,152.42,,,,,,
18,16 September 2020,SAE10W40 (PAMA 62%-Z1 = 7%),10,,,,,,,,74.55,,,,,,,,7,,,,,7.65,,0.6,,,,0.2,,,100,73.135,11.975,160.351,,,,,,
19,16 September 2020,"SAE 10W30 (Gvis SPMA 20/5-41,5% = 6%)",10,,,,,,,50,27.05,,,,,,6.5,,,,,,,7.65,,0.6,,,,0.2,,,102,65.88,10.095,138.332,,,,,,
20,18 September 2020,Blend Oil S8-Ester (PAMA 62%-Z1 = 8%),8.36,,,,,,,,83.64,,,,,8,,,,,,,,,,,,,,,,,100,60.38,-,-,,,,,,
21,18 September 2020,Blend Oil S8-Ester (PAMA 62%-Z1 = 9%),8.27,,,,,,,,82.73,,,,,9,,,,,,,,,,,,,,,,,100,62.055,-,-,,,,,,
22,21 September 2020,SAE 10W30 - R2 (SPAMA 52% = 5%),10,,,,,,,48,29,,,,,,,,5,,,,,7.2,,0.6,,,,0.2,,,100,69.32,10.835,146.113,,,,,,
23,21 September 2020,SAE 10W30 - R2 (SPAMA 52% = 6%),10,,,,,,,47,29,,,,,,,,6,,,,,7.2,,0.6,,,,0.2,,,100,69.805,10.65,140.786,,,,,,
24,21 September 2020,SAE 10W40 (PAMA 52% = 8%),10,,,,,,,,74.27,,,,8,,,,,,,,,7.03,,0.5,,,,0.2,,,100,81.36,12.25,146.75,,,,,,
25,21 September 2020,SAE 10W40 (PAMA 22%-Z1 = 10%),9.4,,,,,,,,73,,,,10,,,,,,,,,6.9,,0.5,,,,0.2,,,100,88.215,13.785,159.866,,,,,,
26,21 September 2020,SAE 10W40 (VM-HV = 8%),9.4,,,,,,,,75,,,,,,,8,,,,,,6.9,,0.5,,,,0.2,,,100,88.47,14.18,165.79,,,,,,
27,23 September 2020,TRL - SAE 10W30 - JASO MB/ API SN,10,,,,,,,,76.55,,,,,,5,,,,,,,7.65,,0.6,,,,0.2,,,100,68.715,10.8,146.902,3.66,6130.86,-29,4.68%,0.46 / 0.058137,
28,23 September 2020,TRL - SAE 10W40 - JASO MB/ API SN,10,,,,,,,,73.55,,,,,,,8,,,,,,7.65,,0.6,,,,0.2,,,100,88.46,15.27,183.108,4.129,6130.86,-33,4.89%,0.43 / 0.054965,
29,23 September 2020,TRL - SAE 10W40 - VM SPAMA,10,,,,,,,,73.55,,,,,,8,,,,,,,7.65,,0.6,,,,0.2,,,100,75.74,12.765,169.362,3.943,,,,,
30,24 September 2020,TRL - SAE 10W40 - FT 01,5,,,,,,,,36.87,,,,,,,3.9,,,,,,3.83,,0.3,,,,0.1,,,50,89.35,14.28,165.617,,,,,,
31,24 September 2020,TRL - SAE 10W40 - FT02,5,,,,,,,,37.02,,,,,,,3.75,,,,,,3.83,,0.3,,,,0.1,,,50,86.615,13.625,160.625,,,,,,
32,25 September 2020,TRL - SAE 10W40 - JASO MB/API SN,10,,,,,,,,73.75,,,,,,,7.8,,,,,,7.65,,0.6,,,,0.2,,,100,-,10.26,-,,,,,,
33,25 September 2020,TRL - SAE 10W30 -  JASO MB/API SN,10,,,,,,,,76.55,,,,,,,,5,,,,,7.65,,0.6,,,,0.2,,,100,-,14.33,-,,,,,,
34,25 September 2020,C8 - SPAMA 52%,,,,,,,,,45,,,,,,,,5,,,,,,,,,,,,,,50,-,9.13,-,,,,,,
35,25 September 2020,C8 - SPAMA 52%,,,,,,,,,46,,,,,,,,4,,,,,,,,,,,,,,50,-,8.66,-,,,,,,
36,28 September 2020,TRL - 5W30 GF6/API-SP (Gasoline) R4 (01),,,,,10,,,,77.22,,,,,,,,4.5,,,,,,,,,,,,,8.28,100,69.25,11.485,160.372,,,,,,
37,28 September 2020,TRL - 5W30 GF6/API-SP (Gasoline) R4 (02),,,,,10,,,,77.72,,,,,,,,4,,,,,,,,,,,,,8.28,100,67.22,10.37,141.159,,,,,,
38,28 September 2020,TRL - 0W20 GF6/API-SP (Gasoline) R4 (01),,,,,10,,,17.72,60,,,,,,,,4,,,,,,,,,,,,,8.28,100,63.08,12.2,194.851,,,,,,
39,28 September 2020,TRL - 0W20 GF6/API-SP (Gasoline) R4 (02),,,,,10,,,77.72,,,,,,,,,4,,,,,,,,,,,,,8.28,100,66.44,8.64,101.133,,,,,,
40,28 September 2020,TRL - 0W20 GF6/API-SP (Gasoline) R4 (03),,,,,10,,,18.22,60,,,,,,,,3.5,,,,,,,,,,,,,8.28,100,61.07,9.69,142.061,,,,,,
41,28 September 2020,TRL - 0W20 GF6/API-SP (Gasoline) R4 (04),,,,,10,,,78.22,,,,,,,,,3.5,,,,,,,,,,,,,8.28,100,51.095,8.39,138.813,,,,,,
42,28 September 2020,TRL - 10W40 GF5/API-SN Plus (Gasoline) R4 (01),,,,,10,,,72.3,,,,,,,,,9,,,,,,8.7,,,,,,,,100,79.08,11.71,141.243,,,,,,
43,28 September 2020,TRL - 10W40 GF5/API-SN Plus (Gasoline) R4 (02),,,,,10,,,71.3,,,,,,,,,10,,,,,,8.7,,,,,,,,100,81.635,13.615,170.959,,,,,,
44,29 September 2020,Re Test 5W30-01 A,,,,,10,,,17.52,60,,,,,,,,4.2,,,,,,,,,,,,,8.28,100,64.82,9.88,136.046,,,,,,
45,29 September 2020,Re Test 5W30-01 B,,,,,10,,,17.72,60,,,,,,,,4,,,,,,,,,,,,,8.28,100,62.495,10.725,163.078,,,,,,
46,29 September 2020,Fine Tuning Formula 0W20-03 A,,,,10,,,,18.22,60.5,,,,,,,,3,,,,,,,,,,,,,8.28,100,41.825,7.47,146.14,,,,,,
47,29 September 2020,Fine Tuning Formula 0W20-04 A,,,,10,,,,78.22,,,,,,,,,3.5,,,,,,,,,,,,,8.28,100,49.16,8.175,139.233,,,,,,
48,29 September 2020,Formula 1 Pak William,10,,,,,,,,76.55,,,,,,,,,5,,,7.65,,,0.6,,,,0.2,,,100,63.085,13.08,213.762,,,,,,
49,29 September 2020,Formula 2 Pak William,10,,,,,,,,76.55,,,,,,,,,,,5,7.65,,,0.6,,,,0.2,,,100,88.28,10.325,97.88,,,,,,
50,29 September 2020,SAE 10W30 - Lub A,2,,,,,,,,15.51,,,,,,,,,,,0.8,,1.53,,0.12,,,,0.04,,,20,-,9.805,-,,,,,,
51,29 September 2020,SAE 10W30 - Lub B,2,,,,,,,,15.41,,,,,,,,,,,0.9,,1.53,,0.12,,,,0.04,,,20,-,10.07,-,,,,,,
52,29 September 2020,TRL 10W40 - Lub A,2,,,,,,,,15.21,,,,,,,,,,,1.1,,1.53,,0.12,,,,0.04,,,20,-,10.66,-,,,,,,
53,29 September 2020,TRL 10W40 - Lub B,2,,,,,,,,15.11,,,,,,,,,,,1.2,,1.53,,0.12,,,,0.04,,,20,-,10.46,-,,,,,,
54,30 September 2020,0W20 - 03 (B),,,,10,,,,38.72,40,,,,,,,,3,,,,,,,,,,,,,8.28,100,47.985,8.01,138.293,,,,,,
55,30 September 2020,0W20 - 03 (C),,,,10,,,,48.72,30,,,,,,,,3,,,,,,,,,,,,,8.28,100,46.29,7.875,140.587,,,,,,
56,30 September 2020,Formula 2 Pak William,10,,,,,,,,76.55,,,,,,,,,,,5,7.65,,,0.6,,,,0.2,,,100,64.21,10.67,156.546,,,,,,
57,30 September 2020,Formula 3 Pak William,10,,,,,,,,78.55,,,,,,,,,,,3,7.65,,,0.6,,,,0.2,,,100,60.805,9.9,148.236,,,,,,
58,30 September 2020,Formula 4 Pak William,10,,,,,,,,74.55,,,,,,,,,,,7,7.65,,,0.6,,,,0.2,,,100,65.185,10.875,158.434,,,,,,
59,30 September 2020,0W20 - 03 (D),,,,,10,,,63.22,15,,,,,,,,3.5,,,,,,,,,,,,,8.28,100,53.885,8.95,145.686,,,,,,
60,30 September 2020,0W20 - 03 (E),,,,5,,,,31.61,7.5,,,,,,,,1.75,,,,,,,,,,,,,4.14,50,44.69,7.995,152.327,,,,,,
